# Table A1 of Millero and Pierrot (1998) doi:10.1023/A:1009656023546
# Parameters for Equation (14) from Møller (1988) and Greenberg and Møller (1989) valid from 0 to 250C 
Parameter,Salt,a1,a2,a3,a4,a5,a6,a7,a8
beta_0,NaCl,1.43783204E01,5.6076740E01,-4.22185236E2,-2.51226677E0,0.0,-2.61718135E-6,4.43854508,-1.70502337
beta_1,NaCl,-4.83060685E-1,1.40677470E-3,1.19311989E2,0.0,0.0,0.0,0.0,-4.23433299
C,NaCl,-1.00588714E-1,-1.80529413E-5,8.61185543E0,1.2488095E-2,0.0,3.41172108E-8,6.83040995E-2,2.93922611E-1
beta_0,KCl,2.67375563E1,1.00721050E-2,-7.58485453E2,-4.70624175,0.0,-3.75994338E-6,0.0,0.0
beta_1,KCl,-7.41559626,0.0,3.22892989E2,1.16438557,0.0,0.0,0.0,-5.94578140
C,KCl,-3.30531334,-1.29807848E-3,9.12712100E1,5.864450181E-1,0.0,4.95713573E-7,0.0,0.0
beta_0,K2SO4,4.07908797E1,8.26906675E-3,-1.418242998E3,-6.74728848,0.0,0.0,0.0,0.0
beta_1,K2SO4,-1.31669651E1,2.35793239E-2,2.06712592E3,0.0,0.0,0.0,0.0,0.0
C,K2SO4,-1.88E-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta_0,CaCl2,-9.41895832E1,-4.04750026E-2,2.34550368E3,1.70912300E1,-9.22885841E-1,1.51488122E-5,-1.39082000E0,0.0
beta_1,CaCl2,3.4787,-1.5417E-2,0.0,0.0,0.0,3.1791E-5,0.0,
C,CaCl2,1.93056024E1,9.77090932E-3,-4.28383748E2,-3.57996343,8.82068538E-2,-4.62270238E-6,9.91113465,0.0
beta_0,CaSO4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta_1,CaSO4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta_2,CaSO4,-1.29399287E2,4.00431027E-1,0.0,0.0,0.0,0.0,0.0,0.0
C,CaSO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
