# Table A11 of Millero and Pierrot (1998) doi:10.1023/A:1009656023546
Type,Parameter,Value,Reference
Theta,Sr-Na,0.07,(a)
Theta,Sr-K,0.01,(1)
Theta,Mg-Ca,0.007,(b)
Theta,Cl-F,0.01,(2)
Theta,SO4-CO3,0.02,(b)
Theta,SO4-HCO3,0.01,(b)
Theta,SO4-B(OH)4,-0.012,(c)
Theta,HSO4-Cl,-0.006,(b)
Theta,OH-SO4,-0.013,(c)
Theta,OH-Br,-0.065,(a)
Theta,NO3-Cl,0.016,(a)
Theta,H2PO4-Cl,0.1,(d)
Theta,HPO4-Cl,-0.105,(d)
Theta,PO4-Cl,-0.59,(d)
Theta,H2AsO4-Cl,0.228,(e)
Theta,HAsO4-Cl,0.122,(e)
Theta,AsO4-Cl,0.06,(e)
Theta,SO3-Cl,0.0991,(f)
Theta,Acetate-Cl,-0.017,(e)
Phi,Sr-Na-Cl,-0.015,(a)
Phi,Sr-K-Cl,-0.015,(1)
Phi,Na-K-Br,-0.0022,(a)
Phi,Na-Mg-SO4,-0.015,(b)
Phi,K-Mg-SO4,-0.048,(b)
Phi,Mg-Ca-Cl,-0.012,(b)
Phi,Mg-Ca-SO4,0.024,(b)
Phi,H-Na-Cl,0.0002,(g)
Phi,H-Na-SO4,0,(g)
Phi,H-Na-Br,-0.012,(a)
Phi,H-K-Cl,-0.011,(b)
Phi,H-K-SO4,0.197,(b)
Phi,H-K-Br,-0.021,(b)
Phi,H-Mg-Br,-0.005,(a)
Phi,MgOH-Mg-Cl,0.028,(b)
Phi,Cl-SO4-Mg,-0.004,(b)
Phi,Cl-HCO3-Mg,-0.0196,(b)
Phi,Cl-F-Na,0.0023,(2)
Phi,SO4-CO3-Na,-0.005,(b)
Phi,SO4-CO3-K,-0.009,(b)
Phi,SO4-HCO3-Na,-0.005,(b)
Phi,SO4-HCO3-Mg,-0.161,(b)
Phi,HSO4-Cl-Na,-0.006,(b)
Phi,HSO4-SO4-K,-0.0677,(b)
Phi,OH-Cl-Na,-0.006,(c)
Phi,OH-Cl-K,-0.006,(c)
Phi,OH-Cl-Ca,-0.025,(c)
Phi,OH-SO4-Na,-0.009,(c)
Phi,OH-SO4-K,-0.05,(c)
Phi,OH-Br-Na,-0.018,(a)
Phi,OH-Br-K,-0.014,(a)
Phi,NO3-Cl-Na,-0.006,(a)
Phi,NO3-Cl-K,-0.006,(a)
Phi,H2PO4-Cl-Na,-0.028,(d)
Phi,H2PO4-Cl-K,-0.0105,(h)
Phi,HPO4-Cl-Na,-0.003,(d)
Phi,PO4-Cl-Na,0.110,(d)
Phi,H2AsO4-Cl-Na,0,(e)
Phi,HAsO4-Cl-Na,0,(e)
Phi,AsO4-Cl-Na,0,(e)
Phi,SO3-Cl-Na,-0.0156,(f)
