# Table A4 of Millero and Pierrot (1998) doi:10.1023/A:1009656023546
# KX coefficients for P = a + b * (T − 298.15) + c * (T − 298.15) ** 2
beta_0,KHCO3,-0.0107,0.001,5-45,(a)
beta_1,KHCO3,0.0478,0.0011,6.776E-21,
C_phi,KHCO3,0,,,
beta_0,K2CO3,0.1288,1.1E-3,-5.1E-6,5-95,(b)
beta_1,K2CO3,1.433,4.36E-3,2.07E-5,
C_phi,K2CO3,0.0005,,,
beta_0,KB(OH)4,0.1469,2.881E-3,0-50,(c)
beta_1,KB(OH)4,-0.0989,-6.876E-3,,
C_phi,KB(OH)4,-0.05643,-9.56E-4,,
beta_0,KHS,1.017,-251.04(1),5-25,(d)(e)
beta_1,KHS,0,,,
C_phi,KHS,-0.033,,,
beta_0,KH2PO4,-0.0678,6.045E-4,0-50,(f)(g)
beta_1,KH2PO4,-0.1042,0.00286,,
C_phi,KH2PO4,0,-1.011E-4,,
beta_0,KCNS,0.0416,6.87E-4,10-40,(f)(g)
beta_1,KCNS,0.2302,0.0037,,
C_phi,KCNS,-0.00252,4.3E-06,,
